# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.630603656438e-01       1.374212386502e+03 
       2.662146201023e-01       1.340686253292e+03 
       2.693688756360e-01       1.306475385055e+03 
       2.725231322074e-01       1.272215239106e+03 
       2.756773897807e-01       1.238596891215e+03 
       2.788316483216e-01       1.206238948646e+03 
       2.819859077974e-01       1.175638460689e+03 
       2.851401681771e-01       1.147123622017e+03 
       2.882944294308e-01       1.120849133402e+03 
       2.914486915299e-01       1.096805143046e+03 
       2.946029544471e-01       1.074862691368e+03 
       2.977572181564e-01       1.054782957445e+03 
       3.009114826326e-01       1.036256201216e+03 
       3.040657478518e-01       1.018925591587e+03 
       3.072200137910e-01       1.002411062939e+03 
       3.103742804281e-01       9.863293264619e+02 
       3.135285477419e-01       9.703308590920e+02 
       3.166828157122e-01       9.541644336742e+02 
       3.198370843193e-01       9.376482816520e+02 
       3.229913535447e-01       9.207229585477e+02 
       3.261456233701e-01       9.034191124682e+02 
       3.292998937784e-01       8.858402626640e+02 
       3.324541647528e-01       8.681369999763e+02 
       3.356084362773e-01       8.504805745739e+02 
       3.387627083365e-01       8.330552360737e+02 
       3.419169809154e-01       8.160402248409e+02 
       3.450712539999e-01       7.996010750207e+02 
       3.482255275760e-01       7.838699368977e+02 
       3.513798016306e-01       7.689459836041e+02 
       3.545340761507e-01       7.548737213986e+02 
       3.576883511239e-01       7.416345577930e+02 
       3.608426265384e-01       7.291636618408e+02 
       3.639969023827e-01       7.173466708947e+02 
       3.671511786456e-01       7.060642733909e+02 
       3.703054553163e-01       6.951888103795e+02 
       3.734597323845e-01       6.846006514680e+02 
       3.766140098402e-01       6.742039314382e+02 
       3.797682876736e-01       6.639139618160e+02 
       3.829225658754e-01       6.536655830108e+02 
       3.860768444366e-01       6.434128847192e+02 
       3.892311233483e-01       6.331371444581e+02 
       3.923854026020e-01       6.228425140993e+02 
       3.955396821897e-01       6.125624872291e+02 
       3.986939621032e-01       6.023505219160e+02 
       4.018482423349e-01       5.922659177941e+02 
       4.050025228773e-01       5.823679973621e+02 
       4.081568037232e-01       5.727064483673e+02 
       4.113110848656e-01       5.633191761570e+02 
       4.144653662977e-01       5.542251704012e+02 
       4.176196480129e-01       5.454392002483e+02 
       4.207739300049e-01       5.369690623770e+02 
       4.239282122673e-01       5.288120425676e+02 
       4.270824947942e-01       5.209574304463e+02 
       4.302367775798e-01       5.133834098467e+02 
       4.333910606184e-01       5.060541878610e+02 
       4.365453439044e-01       4.989290188621e+02 
       4.396996274326e-01       4.919632186404e+02 
       4.428539111978e-01       4.851174731157e+02 
       4.460081951949e-01       4.783652384756e+02 
       4.491624794189e-01       4.716858681292e+02 
       4.523167638652e-01       4.650705091073e+02 
       4.554710485291e-01       4.585128701522e+02 
       4.586253334061e-01       4.520130061984e+02 
       4.617796184918e-01       4.455706675042e+02 
       4.649339037820e-01       4.391954590135e+02 
       4.680881892724e-01       4.329012380255e+02 
       4.712424749592e-01       4.267076121258e+02 
       4.743967608382e-01       4.206359745976e+02 
