# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  100       3.644615555059e-10       1.030904730326e-13      -3.121628779174e-12       0.000000000000e+00       1.085849182652e-11       1.465320000483e-12      -7.170452260767e-15 
  101       3.687832282450e-10       1.050972748564e-13      -3.211489584714e-12       0.000000000000e+00       1.058116884234e-11       1.434893340183e-12      -7.084467548716e-15 
  102       3.731320766313e-10       1.070843893952e-13      -3.301424872730e-12       0.000000000000e+00       1.031294311559e-11       1.405125832777e-12      -6.996636710219e-15 
  103       3.775084378206e-10       1.090499286671e-13      -3.391395474805e-12       0.000000000000e+00       1.005340696792e-11       1.375986239558e-12      -6.903906171985e-15 
  104       3.819123914778e-10       1.109919979509e-13      -3.481355601567e-12       0.000000000000e+00       9.802122427977e-12       1.347466163810e-12      -6.804752860005e-15 
  105       3.863432214769e-10       1.129087200326e-13      -3.571227930371e-12       0.000000000000e+00       9.558838591399e-12       1.319680480960e-12      -6.704783225879e-15 
  106       3.907998734847e-10       1.147982155544e-13      -3.660925278447e-12       0.000000000000e+00       9.323297910891e-12       1.292779990669e-12      -6.611882733270e-15 
  107       3.952811119462e-10       1.166585966136e-13      -3.750358214651e-12       0.000000000000e+00       9.095166564030e-12       1.266920748037e-12      -6.534519443385e-15 
  108       3.997857269264e-10       1.184879813256e-13      -3.839440207981e-12       0.000000000000e+00       8.874087296022e-12       1.242213431814e-12      -6.479209466008e-15 
  109       4.043131981028e-10       1.202845379891e-13      -3.928103859543e-12       0.000000000000e+00       8.659850865483e-12       1.218563825083e-12      -6.442508954526e-15 
  110       4.088631065085e-10       1.220464481618e-13      -4.016286774259e-12       0.000000000000e+00       8.452242607623e-12       1.195811565462e-12      -6.417999231991e-15 
  111       4.134349256915e-10       1.237718943052e-13      -4.103926631388e-12       0.000000000000e+00       8.250987433052e-12       1.173778523129e-12      -6.398729173801e-15 
  112       4.180280025503e-10       1.254590732678e-13      -4.190958031363e-12       0.000000000000e+00       8.055790766873e-12       1.152290867925e-12      -6.377727933407e-15 
  113       4.226415052472e-10       1.271062366816e-13      -4.277302496771e-12       0.000000000000e+00       7.866471084781e-12       1.131249407650e-12      -6.349643224949e-15 
  114       4.272744615910e-10       1.287116573977e-13      -4.362877285831e-12       0.000000000000e+00       7.682840739770e-12       1.110567276673e-12      -6.309286565476e-15 
  115       4.319257699107e-10       1.302736184102e-13      -4.447598485845e-12       0.000000000000e+00       7.504663322341e-12       1.090147957330e-12      -6.251118971447e-15 
  116       4.365943011319e-10       1.317904375095e-13      -4.531383669963e-12       0.000000000000e+00       7.331691547164e-12       1.069928200116e-12      -6.171765186489e-15 
  117       4.412792275201e-10       1.332605424166e-13      -4.614160209805e-12       0.000000000000e+00       7.163789133821e-12       1.050013229921e-12      -6.077919304341e-15 
  118       4.459797266802e-10       1.346824067818e-13      -4.695857999406e-12       0.000000000000e+00       7.000821182791e-12       1.030557593125e-12      -5.979390609658e-15 
  119       4.506948761325e-10       1.360545286267e-13      -4.776406934471e-12       0.000000000000e+00       6.842615171762e-12       1.011723596720e-12      -5.886682382596e-15 
  120       4.554236503029e-10       1.373754315944e-13      -4.855736947062e-12       0.000000000000e+00       6.688959902120e-12       9.936814441046e-13      -5.811006641873e-15 
  121       4.601649769161e-10       1.386436812560e-13      -4.933776925363e-12       0.000000000000e+00       6.539639435568e-12       9.765518316355e-13      -5.760882233228e-15 
  122       4.649179200472e-10       1.398579335213e-13      -5.010451256208e-12       0.000000000000e+00       6.394541637817e-12       9.602258582393e-13      -5.731447819642e-15 
  123       4.696815128682e-10       1.410168942586e-13      -5.085682942418e-12       0.000000000000e+00       6.253560379556e-12       9.445242535416e-13      -5.713923459121e-15 
  124       4.744546976584e-10       1.421193061026e-13      -5.159394706926e-12       0.000000000000e+00       6.116560919709e-12       9.292527064129e-13      -5.698902669874e-15 
  125       4.792363232774e-10       1.431639498268e-13      -5.231509018400e-12       0.000000000000e+00       5.983379136364e-12       9.142015330212e-13      -5.676339399458e-15 
  126       4.840251929044e-10       1.441496660201e-13      -5.301949579528e-12       0.000000000000e+00       5.853846725150e-12       8.991913881326e-13      -5.637726875779e-15 
  127       4.888202186925e-10       1.450754199502e-13      -5.370645926396e-12       0.000000000000e+00       5.727871629979e-12       8.842169096719e-13      -5.582938556013e-15 
  128       4.936202797832e-10       1.459402466040e-13      -5.437529396063e-12       0.000000000000e+00       5.605365229778e-12       8.693186442381e-13      -5.514133931707e-15 
  129       4.984241714677e-10       1.467432325458e-13      -5.502531746357e-12       0.000000000000e+00       5.486216611311e-12       8.545384616163e-13      -5.433638814830e-15 
  130       5.032306030364e-10       1.474835174417e-13      -5.565585192465e-12       0.000000000000e+00       5.370291994833e-12       8.399195681108e-13      -5.343948743969e-15 
  131       5.080382670253e-10       1.481603068690e-13      -5.626621930954e-12       0.000000000000e+00       5.257454247844e-12       8.255132093426e-13      -5.247991516872e-15 
  132       5.128460599754e-10       1.487729090725e-13      -5.685572576071e-12       0.000000000000e+00       5.147625028561e-12       8.113995690086e-13      -5.149939624684e-15 
  133       5.176528815765e-10       1.493207050836e-13      -5.742367622860e-12       0.000000000000e+00       5.040728303633e-12       7.976691645229e-13      -5.054492474125e-15 
  134       5.224575637722e-10       1.498031393792e-13      -5.796937977282e-12       0.000000000000e+00       4.936670431506e-12       7.844164192457e-13      -4.966630287938e-15 
  135       5.272588691053e-10       1.502197214847e-13      -5.849214989244e-12       0.000000000000e+00       4.835339727478e-12       7.717397222395e-13      -4.891619309332e-15 
  136       5.320555219556e-10       1.505700412808e-13      -5.899131166603e-12       0.000000000000e+00       4.736623594287e-12       7.597063932459e-13      -4.833302212113e-15 
  137       5.368463094333e-10       1.508538133287e-13      -5.946622331204e-12       0.000000000000e+00       4.640462850296e-12       7.482433293057e-13      -4.788757181688e-15 
  138       5.416299879135e-10       1.510708402240e-13      -5.991625751190e-12       0.000000000000e+00       4.546802265296e-12       7.372350217444e-13      -4.753089486667e-15 
  139       5.464052496582e-10       1.512210009837e-13      -6.034079517252e-12       0.000000000000e+00       4.455573184146e-12       7.265574637801e-13      -4.721090550510e-15 
  140       5.511707213739e-10       1.513042527371e-13      -6.073922580045e-12       0.000000000000e+00       4.366693204954e-12       7.160779842507e-13      -4.687232111786e-15 
  141       5.559249627681e-10       1.513206324180e-13      -6.111094787608e-12       0.000000000000e+00       4.280065857275e-12       7.056550813409e-13      -4.645660384419e-15 
  142       5.606665289207e-10       1.512702666054e-13      -6.145537125301e-12       0.000000000000e+00       4.195595384902e-12       6.951725845146e-13      -4.591660218913e-15 
  143       5.653941674695e-10       1.511533985845e-13      -6.177192383608e-12       0.000000000000e+00       4.113233439814e-12       6.846463408261e-13      -4.526224899410e-15 
  144       5.701066384816e-10       1.509703672160e-13      -6.206004628460e-12       0.000000000000e+00       4.032936465079e-12       6.741279242613e-13      -4.451934069585e-15 
  145       5.748026513537e-10       1.507216007525e-13      -6.231919042966e-12       0.000000000000e+00       3.954650778713e-12       6.636713009725e-13      -4.371527553154e-15 
  146       5.794808637462e-10       1.504076185782e-13      -6.254881966030e-12       0.000000000000e+00       3.878312341128e-12       6.533328658705e-13      -4.287908201224e-15 
  147       5.841398805180e-10       1.500290329483e-13      -6.274840930959e-12       0.000000000000e+00       3.803846522584e-12       6.431714792173e-13      -4.204144739638e-15 
  148       5.887782908318e-10       1.495865517830e-13      -6.291744813113e-12       0.000000000000e+00       3.731179077546e-12       6.332406833212e-13      -4.122999541617e-15 
  149       5.933947857288e-10       1.490809836843e-13      -6.305544207410e-12       0.000000000000e+00       3.660270744404e-12       6.235644340450e-13      -4.045454891556e-15 
  150       5.979880498645e-10       1.485132367140e-13      -6.316191160729e-12       0.000000000000e+00       3.591085539878e-12       6.141590984992e-13      -3.972050014154e-15 
  151       6.025567235014e-10       1.478843191134e-13      -6.323639105000e-12       0.000000000000e+00       3.523579680388e-12       6.050410597570e-13      -3.903343700664e-15 
  152       6.070994016508e-10       1.471953410483e-13      -6.327842896407e-12       0.000000000000e+00       3.457701410490e-12       5.962267108934e-13      -3.839914571037e-15 
  153       6.116146332152e-10       1.464475163544e-13      -6.328758854596e-12       0.000000000000e+00       3.393390831312e-12       5.877324490237e-13      -3.782361336060e-15 
  154       6.161009586597e-10       1.456421599254e-13      -6.326344982979e-12       0.000000000000e+00       3.330588275087e-12       5.795643617543e-13      -3.730907864613e-15 
  155       6.205570287460e-10       1.447806759356e-13      -6.320561570045e-12       0.000000000000e+00       3.269260659791e-12       5.716862275373e-13      -3.684176801940e-15 
  156       6.249814951784e-10       1.438645718531e-13      -6.311370718613e-12       0.000000000000e+00       3.209377252456e-12       5.640485350499e-13      -3.640302668801e-15 
  157       6.293729724013e-10       1.428954644087e-13      -6.298736209509e-12       0.000000000000e+00       3.150901214289e-12       5.565984678646e-13      -3.597315166303e-15 
  158       6.337300369353e-10       1.418750813186e-13      -6.282623541679e-12       0.000000000000e+00       3.093789472077e-12       5.492798466693e-13      -3.553137451306e-15 
