# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  123       4.700313362720e-10       1.415097756926e-13      -5.077309836370e-12       6.748770189590e-16       6.253560379556e-12       9.445242535416e-13      -5.713923459121e-15 
  124       4.748005885452e-10       1.426202005612e-13      -5.150657364913e-12       6.863043678955e-16       6.116560919709e-12       9.292527064129e-13      -5.698902669874e-15 
  125       4.795779899862e-10       1.436731126164e-13      -5.222400296448e-12       6.978440561755e-16       5.983379136364e-12       9.142015330212e-13      -5.676339399458e-15 
  126       4.843623403316e-10       1.446673688478e-13      -5.292462489844e-12       7.094969696545e-16       5.853846725150e-12       8.991913881326e-13      -5.637726875779e-15 
  127       4.891525469369e-10       1.456019504109e-13      -5.360773664978e-12       7.212644335610e-16       5.727871629979e-12       8.842169096719e-13      -5.582938556013e-15 
  128       4.939474837731e-10       1.464759084407e-13      -5.427265360233e-12       7.331479291379e-16       5.605365229778e-12       8.693186442381e-13      -5.514133931707e-15 
  129       4.987459409296e-10       1.472883461832e-13      -5.491869548947e-12       7.451489956147e-16       5.486216611311e-12       8.545384616163e-13      -5.433638814830e-15 
  130       5.035466224641e-10       1.480384205278e-13      -5.554518676254e-12       7.572692311817e-16       5.370291994833e-12       8.399195681108e-13      -5.343948743969e-15 
  131       5.083482156159e-10       1.487253542690e-13      -5.615145183759e-12       7.695102861740e-16       5.257454247844e-12       8.255132093426e-13      -5.247991516872e-15 
  132       5.131496114622e-10       1.493484711387e-13      -5.673679947350e-12       7.818738397244e-16       5.147625028561e-12       8.113995690086e-13      -5.149939624684e-15 
  133       5.179497041535e-10       1.499071674759e-13      -5.730053739442e-12       7.943616224180e-16       5.040728303633e-12       7.976691645229e-13      -5.054492474125e-15 
  134       5.227473200496e-10       1.504009034271e-13      -5.784197758956e-12       8.069754247672e-16       4.936670431506e-12       7.844164192457e-13      -4.966630287938e-15 
  135       5.275412160648e-10       1.508292045530e-13      -5.836043664600e-12       8.197170981312e-16       4.835339727478e-12       7.717397222395e-13      -4.891619309332e-15 
  136       5.323301113548e-10       1.511916766109e-13      -5.885524283933e-12       8.325884024660e-16       4.736623594287e-12       7.597063932459e-13      -4.833302212113e-15 
  137       5.371127896120e-10       1.514880482373e-13      -5.932575753480e-12       8.455905297118e-16       4.640462850296e-12       7.482433293057e-13      -4.788757181688e-15 
  138       5.418880043446e-10       1.517181357793e-13      -5.977135665774e-12       8.587245322461e-16       4.546802265296e-12       7.372350217444e-13      -4.753089486667e-15 
